epoch,accuracy,loss,val_accuracy,val_loss

0,0.7170000076293945,0.975447416305542,0.8737499713897705,0.3008574843406677

1,0.8180000185966492,0.46706342697143555,0.856249988079071,0.324339359998703

2,0.878000020980835,0.33304885029792786,0.9075000286102295,0.2720368802547455

3,0.8949999809265137,0.257319837808609,0.9012500047683716,0.28655195236206055

4,0.9169999957084656,0.24757248163223267,0.762499988079071,1.02392578125

5,0.9160000085830688,0.24248670041561127,0.8999999761581421,0.33853739500045776

6,0.9390000104904175,0.1607997566461563,0.8999999761581421,0.34955352544784546

7,0.9390000104904175,0.1744663268327713,0.8412500023841858,0.7442306280136108

8,0.9459999799728394,0.16191376745700836,0.893750011920929,0.3721802234649658

9,0.9480000138282776,0.15190713107585907,0.8424999713897705,0.6806667447090149


